id, date, time, views, author, message
33,2016/01/01,2:25:35 PM,7K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ شاهد | إقتحام الجيش اليمني واللجان الشعبية موقع المنتزه العسكري السعودي في #جيزان #والقادم_أعظم 01-01-2016#الخيارات_الاستراتيجية--------------------- ‏ رابط مباشر [ 2.0 ميجا ] //mmf.whatsapp.net/d/jlZx_N0IshQqBcYTdnlzl1aGu-MABShJYHdKPQ/Ag5P8qQWz7cAZwoq4yqSJu4YX4fc0vgf9knkG8iX97JQ.mp4
34,2016/01/01,2:25:35 PM,7K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ شاهد |  عملية إقتحام الجيش اليمني واللجان الشعبية أجزاء من جبل الدود الاستراتيجي السعودي في #جيزان #والقادم_أعظم 01-01-2016#الخيارات_الاستراتيجية--------------------- ‏ رابط مباشر [ 3.4 ميجا ] //mmf.whatsapp.net/d/olfhDvIJwIHQJcf79hXQnVaGvDkABShJZZMNKg/AjgHPK9CbjOJP9h1CcUNwld8aNVpRUZAWIBAMZ8NFPvT.mp4
35,2016/01/01,2:32:36 PM,1.3K,الزعيم عفاش بجم الوطن,شاهد | سقوط جنود من الجيش السعودي وتدمير آليات عسكرية بموقع المسيال بنجران 01-01-2016‎          ▬▬▬▬▬#الإعلام_الحربيابوكيان؏ﮩ₰  https://telegram.me/abokaian     ﺳﻨﺨﺮﺱ ﺍﻟﻤﺮﺟﻔﻴﻦ          ﻭﺳﻨﺄﺗﻴﻜﻢ ﺑﺎﻟﺨﺒﺮ ﺍﻟﻴﻘﻴﻦ  القادم اعظم بإذن الله      ـــــــــــــــــــــــــــــــــــــــــــــــــــــــــ
36,2016/01/02,11:17:29 AM,633,الزعيم عفاش بجم الوطن,🏻🏻🏻 جديد الإعلام الحربي من الحدود السعودية.‏ ‏   العهد تلقرام:
37,2016/01/02,11:40:35 AM,964,الزعيم عفاش بجم الوطن,صور من مظاهر تهريب مرتزقة العدوان السعودي الأمريكي للأسلحة لإنشاء المعسكرات والمتارس بوسط الأحياء السكنية بمدينة تعز .
38,2016/01/02,12:17:27 PM,7.6K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ شاهد | عملية إقتحام عدد من المواقع السعودية وتمشيط مدينة الخوبة الشمالية في #جيزان 02-01-2016[المقطع الأول ]#والقادم_أعظم #الخيارات_الاستراتيجية--------------------- ‏ رابط مباشر [ 15 ميجا ] https://mmf.whatsapp.net/d/YGw8MytQSCnmGTH1ZEUx_laH-QcABShcR5-ZMQ/Ahq8yRncWNn3T4ULH1858r0BYqycz9_SY30RhG_JlbBS.mp4
39,2016/01/02,12:52:00 PM,7K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ شاهد | عملية إقتحام عدد من المواقع السعودية وتمشيط مدينة الخوبة الشمالية في #جيزان 02-01-2016[المقطع الثاني ]#والقادم_أعظم #الخيارات_الاستراتيجية--------------------- ‏ رابط مباشر [ 14 ميجا ] https://mmf.whatsapp.net/d/Td11_2ca8ZmuyRl4aVKveFaH-hoABShcWAib2g/AgDi_7gfY4qaGkCjYFFtynV2IY_c_jqCli4z25O5vuTR.mp4
40,2016/01/02,12:53:53 PM,1.2K,الزعيم عفاش بجم الوطن,#مشاهد من مظاهرات امام قنصلیة آل سعود في مدينة مشهد المقدسة شرق ايران قبل قليل #الإعلام_الحربيابوكيان؏ﮩ₰  https://telegram.me/abokaian     ﺳﻨﺨﺮﺱ ﺍﻟﻤﺮﺟﻔﻴﻦ          ﻭﺳﻨﺄﺗﻴﻜﻢ ﺑﺎﻟﺨﺒﺮ ﺍﻟﻴﻘﻴﻦ  القادم اعظم بإذن الله      ـــــــــــــــــــــــــــــــــــــــــــــــــــــــــ
41,2016/01/03,10:34:17 AM,633,الزعيم عفاش بجم الوطن,شاهد سيطرة الجيش اليمني واللجان الشعبية على مواقع المنتزه والشبكة بجيزان المحتلة.‏   العهد تلقرام:
42,2016/01/03,10:34:17 AM,633,الزعيم عفاش بجم الوطن,داعش والسعودية طريقة الإعدام واحدة‏   العهد تلقرام:
43,2016/01/03,12:13:41 PM,1.6K,الزعيم عفاش بجم الوطن,هام🇾🇪يرجى النشر على اوسع نطاق🇾🇪🖥ترددات القنوات اليمنيهضد العدواناليمن الفضائيه من اليمن .12604...27500..Hالمسيرة...12565...27500..Hاليمن اليوم...12604...27500..Hالساحات..11012...27500..Hالايمان ..12604...27500..Hقناه سبأ..12604...27500..H#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  ⓣelegram.me/AlmajdNewsاضغط اشتراكنـرجـوا التـكرُم بالنـشـر   على أوسع نطاق ممكـن  • إنشرتأكيداً للواقع وكشفاً للحقائق
44,2016/01/03,12:13:55 PM,1.4K,الزعيم عفاش بجم الوطن,وزع الإعلام الحربي مشاهد لعملية تفجير مدرعة في المستحدث تم الإستيلاء عليها سابقاً. جيزان-2015-12-31م#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  ⓣelegram.me/AlmajdNewsاضغط اشتراك
45,2016/01/04,10:37:44 AM,673,الزعيم عفاش بجم الوطن,🇾🇪قنوات يمنية أخبارية🇾🇪ننقل لك الخبر أولا بأول...ننصح بمتابعتها جميعها  •┈┈┈••●◆❁✿❁◆●••┈┈┈•بشائر النصر
46,2016/01/06,12:07:58 PM,858,الزعيم عفاش بجم الوطن,لا يفوتك....القنوات 🇾🇪اليمنية🇾🇪 الأكثر والأفضل متابعة ----------------------------------#الإعلام_الحربيابوكيان؏ﮩ₰
47,2016/01/06,12:51:13 PM,1.2K,الزعيم عفاش بجم الوطن,زامل ألا يا ماحلا الغزوات بين القذايف والبوازيك عازف صوت موالhttps://youtu.be/nL1C_-cUPl8
48,2016/01/07,11:27:11 AM,1.4K,الزعيم عفاش بجم الوطن,شاهد |هزائم متتالية لقوى الغزو ومرتزقته وتقدم متواصل للجيش واللجان الشعبية بتعز 06-01-2016‎#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات
49,2016/01/07,12:03:30 PM,7.6K,الزعيم عفاش بجم الوطن,هـــامترقبوا ضمن نشرة 07:00 مساءً مشاهد قتلى مرتزقة الجيش السعودي في #الطوال-حرض وبعض الوثائق التي وجدت بحوزتهم‎            ↓↓↓↓↓↓↓↓يمكنكم المشاهدة عبر (البث المباشر) على الموقع الإلكتروني//
50,2016/01/07,12:50:30 PM,9,الزعيم عفاش بجم الوطن,20332057
51,2016/01/08,11:42:18 AM,1.5K,الزعيم عفاش بجم الوطن,شاهد | السعودية تستأجر مرتزقة للقتال نيابة عنهم بجيزان 07-01-2016#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات ⓣelegram.me/AlmajdNews
52,2016/01/08,11:42:18 AM,1.5K,الزعيم عفاش بجم الوطن,شاهد | المسيرة تجول في جبهة سدباء بمحافظة الجوف 07-01-2016#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات ⓣelegram.me/AlmajdNews
53,2016/01/08,12:09:10 PM,1.5K,الزعيم عفاش بجم الوطن,وزع الإعلام الحربي مشاهد لجثث لبعض القتلى خلفها الغزاة والمرتزقة ورائهم بعد أن لاذوا بالفرار في منطقة الطوال ومشاهد لبعض الغنائم  جيزان_ ٠٦_٠١_٢٠١٦م#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات ⓣelegram.me/AlmajdNews
54,2016/01/08,12:09:43 PM,1.6K,الزعيم عفاش بجم الوطن,وزع الإعلام الحربي مشاهد لعملية تفجير آلية برادلي واغتنام رشاش (عيار ٥٠) في أحد مواقع المشقف— #جيزان —٠٦_٠١_٢٠١٦م    حجم المقطع (8.7 ميجا)#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  ⓣtelegram.me/almajdnews
55,2016/01/08,12:17:24 PM,7.6K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ فلاش | حقائق العدوان على #اليمن--------------------- ‏ رابط مباشر [ 2.8 ميجا ] //mmf.whatsapp.net/d/wpdhbzzRNIQiPfUMXQFT0laPyTcABSjTgAxUyg/AtZ5qvJWhf_0zB3ZC1OCL5O276yG17KadjQCnll399Xs.mp4
56,2016/01/08,12:17:24 PM,7.6K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ فلاش | خــنــدق واحـــد --------------------- ‏ رابط مباشر [ 1.9 ميجا ] //mmf.whatsapp.net/d/9yfeg1ke5wPBUJUAU_KrlFaPyUwABSjTgVIbBg/AtchBRWkwMARSqWkOml5stpycACj2S5ajv-0Rl0hjlPP.mp4
57,2016/01/08,1:07:09 PM,0,الزعيم عفاش بجم الوطن,منتدى المهندسين في اليمنتهتم هذة القناة بالهندسة والمهندسين المتواجدين في اليمن والتي تهدف الى تبادل المعلومات والانشطة في مجالات الهندسة [ استشارات ،وظائف ، مبيعات، خدمات]                      ليستفيد منها الجميع
58,2016/01/08,1:08:56 PM,7.9K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ شاهد | أسير سعودي في قبضة أبطال الجيش اليمني واللجان الشعبية 08-01-2016--------------------- ‏ رابط مباشر [ 4.7 ميجا ] //mme.whatsapp.net/d/pmujnnyCF30djTKKyTlJO1aP-goABSjWaRYb3A/Argjm4UFgZ56h8_ZULR2Ftu6tgIL7jglniZb-aBVn5E3.mp4
59,2016/01/09,11:16:35 AM,1.4K,الزعيم عفاش بجم الوطن,شاهد | إسقاط طائرة أباتشي سعودية في ميدي على أيدي أبطال الجيش اليمني واللجان الشعبية 08-01-2016#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  ⓣtelegram.me/almajdnews
60,2016/01/09,11:16:35 AM,0,الزعيم عفاش بجم الوطن,مقطع فيديو لكلمة #الزعيم_علي_عبدالله_صالح
61,2016/01/09,1:09:20 PM,11,الزعيم عفاش بجم الوطن,يب
62,2016/01/12,10:50:34 AM,1.1K,الزعيم عفاش بجم الوطن,فيديو خام  لعملية إطلاق صاروخ أوراغان (روسي الصنع) من قبل قوات الجيش واللجان الشعبية على معسكر ماس التابع لمرتزقة العدوان في محافظة مأرب - وسط اليمن.وأكّد مصدر عسكري أن الصاروخ أصاب هدفه بدقة، حيث استهدف تجمّعاً لآليات ومرتزقة العدوان في المعسكر.https://t.co/CNyppBSPgn
63,2016/01/13,12:35:00 PM,10,الزعيم عفاش بجم الوطن,يب
64,2016/01/15,10:45:11 AM,3K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ ‏ شاهد | اعترافات المغرر بهم الذين وقعوا بقبضة أبطال الجيش واللجان الشعبية بمحافظة #مأرب 14-01-2016                                  النجم الثاقب telegram.me/alnajm_althaqb
65,2016/01/15,10:45:11 AM,4.4K,الزعيم عفاش بجم الوطن,مشاهد لعملية تفجير مدرعة سعودية خلف قرية الزبادي في #جيزانإشترك في تلغرام قناة.اليمن.الأصيل  ⓣelegram.me/yemenasil
66,2016/01/15,11:19:36 AM,4K,الزعيم عفاش بجم الوطن,فلاش| شعب الكرامة والإنتصار " أمهات تستقبل أبناءها الشهداء "https://youtu.be/54IitSVt36Uإشترك في تلغرام قناة.اليمن.الأصيل  https://telegram.me/yemenasil
67,2016/01/15,11:30:06 AM,1.4K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ شاهد | #الخيارات_الاستراتيجية: تطهير مبنى قيادة حرس الحدود السعودي بالربوعة في #عسير وإحراق آليات وتفجير أبراج رقابة على أيدي الجيش اليمني واللجان الشعبية #والقادم_أعظم 15-01-2016—------------------- ‏ رابط مباشر [ 16 ميجا ] //mme.whatsapp.net/d/P-T94Qy3ab1XibWv9dOQHlaY_N0ABSlf6Gmjhw/AiMkG3zZCnEvGG8rdShRhpatPq0HWf9U39x9szqxI60u.mp4
68,2016/01/15,11:55:31 AM,73,الزعيم عفاش بجم الوطن,استعراض ضرب قنابل عنقودية من طائرة F16 اشترك الان
69,2016/01/15,12:14:50 PM,2.1K,الزعيم عفاش بجم الوطن,#الإعلام_الحربي شاهد↑↑↑ | تطهير مبنى قيادة حرس الحدود السعودي في #الربوعة وإحراق آليات وتفجير أبراج رقابة 15-01-2016رابط يوتيوب youtube.com/watch?v=SOtzef4t58M     ‎‎الحقيــقة لا غـــير https://telegram.me/FactNoAnother
70,2016/01/15,12:16:15 PM,1.9K,الزعيم عفاش بجم الوطن,شاهد |  تبخر أوهام قوى الغزو ومرتزقتهم أمام ثبات الجيش واللجان الشعبية في الجدعان 14-01-2016     ‎‎الحقيــقة لا غـــير https://telegram.me/FactNoAnother
71,2016/01/15,12:16:15 PM,1.8K,الزعيم عفاش بجم الوطن,شاهد | مضايا اليمن 14-01-2016     ‎‎الحقيــقة لا غـــير https://telegram.me/FactNoAnother
72,2016/01/16,11:37:17 AM,1.1K,الزعيم عفاش بجم الوطن,‏ شاهد | مخلفات قوى الغزو ومرتزقتهم بعقبة لودر في مكيراس بمحافظة #البيضاء بعد أن كبدهم الجيش واللجان الشعبية خسائر فادحة 15-01-2016 #الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  ⓣtelegram.me/Almajdnews
73,2016/01/16,11:37:17 AM,1.1K,الزعيم عفاش بجم الوطن,‏ شاهد | مسلحون يفجرون أنبوب نفط رئيسي لمصافي #عدن واشتباكات مسلحة لعناصر القاعدة وداعش 15-01-2016 #الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  ⓣtelegram.me/Almajdnews
74,2016/01/17,10:59:08 AM,4K,الزعيم عفاش بجم الوطن,فلاش|قناة المسيرة| النمر كلمة الحق في وجه الطغيانhttps://youtu.be/BtRRcdZbiU0🇾🇪 تلگرام قناة اليمن الأصيل:  https://telegram.me/yemenasil
75,2016/01/17,10:59:12 AM,3K,الزعيم عفاش بجم الوطن,🏻🏻🏻🏻🏻 ‏ ‏ شاهد | اندحار قوى الغزو ومرتزقتهم في محاولات تقدم فاشلة باتجاه جبل هيلان بمحافظة #مأرب 16-01-2016                                  النجم الثاقب telegram.me/alnajm_althaqb
76,2016/01/17,3:17:28 PM,2K,الزعيم عفاش بجم الوطن,شاهد عملية نزع الفرق الهندسية للقنابل العنقودية التي يلقيها العدو على المواطنين بمديرية رازح 17-01-2016#أبوكهلان.tt#الإعلام_الحربي_الإلكترونيتيلجرام ●
77,2016/01/18,10:41:11 AM,0,الزعيم عفاش بجم الوطن,.....................................قناة : "علوم عسكرية" ع التلجرام .قناة متخصصه في المجال العسكري والعملياتي والأسلحة الحربية ...للإشتراك إضغط ع الرابط //telegram.me/army9ملاحظـــــة :القنــــاة للعسكـــــــريين فقـــــــط .
78,2016/01/18,11:18:06 AM,1.8K,الزعيم عفاش بجم الوطن,شاهد | الفرق الهندسية تنتزع القنابل العنقودية التي ألقاها #العدوان السعودي اﻷمريكي على المواطنين بمديرية رازح #صعدة 17-01-2016 ‎‎الحقيــقة لا غـــير https://telegram.me/FactNoAnother
79,2016/01/19,10:49:26 AM,1.2K,الزعيم عفاش بجم الوطن,شاهد | الأضرار التي لحقت بالأحياء السكنية جراء استهداف العدوان إدارة الأمن في صنعاء 18-01-2016#الإعـــــــــــ{الحـــــــ✍ـــــــربي}ـــــــــــلام# شبكة المجد للأخباروالمعلومات  ⓣtelegram.me/Almajdnews
80,2016/01/19,10:49:26 AM,6.1K,الزعيم عفاش بجم الوطن,‏ شاهد | تصاعد وتيرة عمليات الجيش اليمني واللجان الشعبية في #نجران بالعمق السعودي #والقادم_أعظم 18-01-2016 ‎هُـنـا المسيــرةtelegram.me/Hona_Almasirah
81,2016/01/19,10:49:26 AM,4K,الزعيم عفاش بجم الوطن,مشاهد لعملية تدمير آلية عسكرية نوع همر في الخط العام بالشرفة #نجران
82,2016/01/19,10:49:26 AM,4K,الزعيم عفاش بجم الوطن,مشاهد لعملية تدمير تحصينات موقع المسيال وإحراق طقم يحمل رشاش عيار ( ٥٠ ) #نجران_١٧_٠١_٢٠١٦م
83,2016/01/19,11:13:43 AM,1.5K,الزعيم عفاش بجم الوطن,وزع الإعلام_الحربي مشاهد لعملية استهداف موقع شرقي الشرفة بقذائف الهاون نجران_١٥_٠١_٢٠١٦م    #شــــبــــكة_العــــــٓودّ_الاخــــبــــاريـــــة_             تيليجرام      _________________https://ⓣelegram.me/accustom
84,2016/01/19,11:39:30 AM,1.5K,الزعيم عفاش بجم الوطن,#قصيدة| النصر آت      للشاعر #مصطفى_المحضار#شـــبـــكة_العــــٓودّ_الاخـــبــــاريــة_             تيليجرام      _________________https://ⓣelegram.me/accustom
